Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost
52,Kia,Seltos,2023,Electric,Manual,1410000,12.6,2000,5,6800
53,Mahindra,Bolero,2019,Petrol,Automatic,2480000,22,1200,4,23400
54,Kia,Carnival,2020,Diesel,Manual,1320000,21,1000,6,9100
55,Skoda,Kushaq,2023,Electric,Automatic,430000,22.9,1500,6,18600
56,Toyota,Innova,2023,Electric,Manual,3410000,24,1500,5,16500
57,Toyota,Innova,2018,Electric,Manual,890000,24.7,1200,7,8400
58,Mahindra,Thar,2015,Electric,Automatic,1860000,25.1,2000,7,23800
59,Skoda,Slavia,2016,Diesel,Automatic,3070000,11.6,1800,5,23000
60,Toyota,Camry,2016,Diesel,Manual,690000,26.5,1200,4,21400
61,Hyundai,i10,2024,Petrol,Automatic,2830000,17.2,800,5,14500
62,Tata Motors,Nexon,2020,Diesel,Manual,3370000,11.1,800,7,11100
63,Mahindra,Scorpio,2016,CNG,Automatic,490000,29.5,1500,4,5300
64,Kia,Carnival,2022,Electric,Manual,2970000,12.8,1000,6,13100
65,Tata Motors,Nexon,2018,Petrol,Manual,1780000,13,2500,7,17900
66,Kia,Sonet,2016,Diesel,Manual,2190000,25.2,1200,5,7100
67,Skoda,Superb,2020,Diesel,Manual,2300000,22.6,2500,4,11700
68,Kia,Sonet,2020,Diesel,Automatic,2650000,11.4,1200,6,24700
69,Hyundai,Venue,2021,Electric,Automatic,1680000,24.1,2500,6,24000
70,Skoda,Rapid,2015,Electric,Automatic,1700000,15.8,800,4,23500
71,Toyota,Glanza,2023,Diesel,Automatic,1630000,27.1,800,4,17700
72,Hyundai,Creta,2020,Electric,Manual,1720000,23,2500,6,21900
73,Honda,WR-V,2021,Electric,Automatic,940000,25.7,1500,4,9900
74,Mahindra,Thar,2022,Diesel,Manual,3090000,26.2,1500,6,15800
75,Toyota,Glanza,2016,Diesel,Manual,3260000,10.2,1000,4,6300
76,Mahindra,XUV300,2022,Petrol,Automatic,2150000,13,1800,6,5300
77,Tata Motors,Punch,2019,Petrol,Manual,1720000,17.3,2000,5,6900
78,Hyundai,i20,2018,Diesel,Automatic,2070000,15.5,2500,5,19700
79,Honda,Civic,2024,Diesel,Automatic,2040000,27.6,2500,5,14700
80,Tata Motors,Altroz,2018,CNG,Manual,1990000,19.9,800,6,21600
81,Skoda,Octavia,2020,Diesel,Automatic,820000,28.7,2500,5,11700
82,Volkswagen,Taigun,2020,Diesel,Manual,1080000,14.3,1800,4,24200
83,Maruti Suzuki,Swift,2017,Petrol,Automatic,1510000,12,1000,4,14200
84,Toyota,Urban Cruiser,2022,Diesel,Automatic,850000,15.3,1800,5,10200
85,Skoda,Kushaq,2021,Electric,Automatic,1450000,27.6,1000,5,16700
86,Kia,Carnival,2022,Petrol,Automatic,1930000,19.7,2000,5,18300
87,Kia,EV6,2016,Diesel,Automatic,1310000,11.9,2000,6,22700
88,Renault,Lodgy,2016,CNG,Manual,520000,26.4,1800,5,14600
89,Toyota,Fortuner,2016,CNG,Manual,2560000,29.3,1000,4,22900
90,Hyundai,i20,2017,Petrol,Automatic,1790000,10.5,1800,7,8800
91,Volkswagen,Vento,2018,Electric,Manual,1770000,13.6,1200,5,18000
92,Hyundai,i20,2015,Diesel,Manual,2750000,22.6,1000,4,18900
93,Volkswagen,Taigun,2021,CNG,Manual,3240000,24.1,1000,4,10400
94,Tata Motors,Nexon,2023,Electric,Automatic,1210000,20.8,2000,7,9000
95,Toyota,Innova,2018,Electric,Manual,2360000,20.2,800,5,13000
96,Volkswagen,Polo,2018,CNG,Manual,3300000,10.6,1500,6,24200
97,Honda,Civic,2017,CNG,Automatic,1610000,18.2,800,4,23600
98,Maruti Suzuki,Baleno,2020,Diesel,Manual,1370000,26,1200,7,13400
99,Hyundai,Verna,2017,Diesel,Automatic,3320000,16.6,1000,6,10300
100,Hyundai,Creta,2020,Electric,Automatic,2470000,14.2,1000,5,23100
101,Toyota,Innova,2020,Diesel,Manual,2010000,29.9,1800,5,9200
102,Maruti Suzuki,Ertiga,2015,Diesel,Automatic,3270000,22.9,1000,4,7600
103,Skoda,Kushaq,2019,Petrol,Automatic,2730000,20.7,800,4,23300
104,Tata Motors,Tiago,2019,Diesel,Automatic,1930000,10.5,2000,6,11400
105,Mahindra,Thar,2021,Petrol,Manual,2390000,21.7,2000,4,12400
106,Tata Motors,Altroz,2015,Petrol,Manual,2060000,28.8,1800,6,10500
107,Toyota,Urban Cruiser,2018,Electric,Automatic,3150000,11.8,1500,6,17300
108,Skoda,Kushaq,2018,Electric,Automatic,2960000,16,2000,5,21700
109,Tata Motors,Nexon,2020,Diesel,Automatic,2240000,25.1,1000,5,13600
110,Kia,Carens,2022,Petrol,Manual,1370000,23.5,2500,7,5100
111,Honda,Amaze,2024,Diesel,Manual,2950000,18.1,800,6,6700
112,Honda,Amaze,2018,Diesel,Manual,2130000,17.8,800,5,19900
113,Maruti Suzuki,Baleno,2018,Electric,Manual,1330000,24.4,1200,7,10100
114,Maruti Suzuki,Ertiga,2020,Petrol,Automatic,3020000,20.5,1500,4,5100
115,Maruti Suzuki,Baleno,2023,Petrol,Manual,990000,27.4,800,4,16700
116,Maruti Suzuki,Baleno,2023,CNG,Manual,3240000,25.6,1000,7,13600
117,Hyundai,Venue,2023,Petrol,Manual,3430000,29.4,1000,4,23700
118,Honda,Amaze,2018,Electric,Manual,1280000,12,1000,7,20300
119,Honda,Jazz,2019,CNG,Automatic,1220000,11.1,1000,5,12600
120,Toyota,Innova,2017,Electric,Automatic,1720000,22,1800,4,20900
121,Kia,Sonet,2018,Diesel,Automatic,2640000,25.6,1500,6,5900
122,Honda,Jazz,2016,CNG,Automatic,1800000,27.7,2000,6,17400
123,Honda,WR-V,2023,Electric,Automatic,3470000,13,800,7,10200
124,Toyota,Innova,2021,Diesel,Manual,1730000,22.2,1200,5,21500
125,Skoda,Slavia,2023,Electric,Manual,2660000,16.9,2000,4,18400
126,Toyota,Urban Cruiser,2021,CNG,Automatic,2960000,16.7,2000,5,8300
127,Renault,Lodgy,2023,Petrol,Automatic,1460000,28.7,2000,6,23200
128,Honda,City,2017,Electric,Manual,3360000,26,1500,5,8000
129,Skoda,Kushaq,2018,Diesel,Automatic,2890000,22,1800,5,22900
130,Renault,Kiger,2015,Petrol,Manual,1490000,19.2,1200,7,16500
131,Kia,EV6,2023,Diesel,Automatic,1420000,29.6,1500,6,18400
132,Renault,Kwid,2019,CNG,Automatic,1040000,12.2,1200,7,9500
133,Mahindra,Scorpio,2019,Diesel,Manual,1300000,27.8,2000,4,23200
134,Maruti Suzuki,Dzire,2024,CNG,Manual,3370000,25.8,1200,7,11500
135,Skoda,Rapid,2023,Diesel,Automatic,2040000,27,2000,7,13600
136,Honda,Civic,2019,Petrol,Manual,2190000,17.4,800,7,10200
137,Tata Motors,Harrier,2021,Petrol,Automatic,2520000,25.7,2500,4,19800
138,Kia,Carnival,2024,Diesel,Manual,1820000,23.9,2000,5,20800
139,Mahindra,XUV700,2017,Diesel,Automatic,480000,17.5,2500,6,24900
140,Hyundai,Verna,2021,Electric,Manual,2480000,20.8,800,5,5500
141,Skoda,Kushaq,2024,CNG,Automatic,2490000,27.8,1500,7,7500
142,Maruti Suzuki,Ertiga,2015,CNG,Automatic,2860000,28,1500,5,16700
143,Honda,City,2018,Electric,Automatic,3370000,14.4,1200,6,15300
144,Kia,Carens,2022,CNG,Automatic,2010000,22.7,2000,6,16900
145,Honda,City,2018,CNG,Manual,1610000,17.7,1000,6,12300
146,Skoda,Superb,2024,Electric,Manual,2440000,17.7,1500,6,6400
147,Honda,Civic,2022,Diesel,Automatic,2700000,18.1,1800,5,22900
148,Toyota,Glanza,2017,Electric,Manual,3190000,27.7,1800,4,21100
149,Renault,Duster,2023,Petrol,Manual,3440000,17.9,1200,7,6600
150,Volkswagen,Vento,2018,Electric,Manual,1430000,24.6,1500,4,8000
151,Volkswagen,Polo,2023,CNG,Manual,3310000,24.2,2000,4,23300
152,Mahindra,XUV700,2024,Petrol,Automatic,2120000,24.9,1800,7,23500
153,Volkswagen,Polo,2016,Diesel,Automatic,3120000,19.5,1000,7,9400
154,Honda,Civic,2022,Electric,Automatic,1140000,29.9,800,5,11600
155,Renault,Lodgy,2023,Diesel,Automatic,1410000,19.1,2000,6,8200
156,Hyundai,i20,2023,Electric,Manual,2800000,23.4,800,5,16600
157,Skoda,Superb,2023,Electric,Automatic,3300000,10.6,2500,4,9600
158,Volkswagen,Taigun,2016,Electric,Manual,1330000,10.9,1800,7,22900
159,Kia,Sonet,2015,Petrol,Automatic,1750000,23.3,1200,4,13100
160,Kia,Seltos,2019,CNG,Automatic,1980000,18.8,2500,4,10400
161,Mahindra,Bolero,2023,Petrol,Manual,3400000,29.7,1200,5,15800
162,Kia,Seltos,2023,CNG,Manual,2860000,26.7,1000,4,9600
163,Skoda,Kushaq,2024,Electric,Automatic,2250000,21.4,1800,6,23800
164,Honda,Amaze,2023,Diesel,Automatic,590000,28,1500,4,13000
165,Volkswagen,Vento,2019,CNG,Manual,2350000,21.7,1500,4,16300
166,Mahindra,XUV700,2016,Petrol,Automatic,3460000,10.9,1800,6,12800
167,Renault,Kiger,2015,Petrol,Manual,2270000,16.9,800,4,12200
168,Renault,Kwid,2024,Petrol,Manual,1460000,18.4,1200,6,17100
169,Toyota,Glanza,2015,Diesel,Manual,970000,15.9,2500,7,21400
170,Renault,Kiger,2017,Electric,Automatic,3390000,24.5,800,5,23000
171,Mahindra,XUV300,2021,Diesel,Automatic,430000,22.4,1800,4,18100
172,Renault,Kwid,2018,CNG,Manual,2020000,10.4,1000,4,11600
173,Mahindra,Scorpio,2015,Electric,Manual,1920000,26,1500,7,5500
174,Mahindra,Scorpio,2016,Electric,Manual,2640000,16.3,2500,5,24600
175,Maruti Suzuki,Ertiga,2016,CNG,Automatic,3100000,19.5,1200,5,15300
176,Hyundai,i10,2019,CNG,Manual,1540000,12.1,1500,7,11900
177,Skoda,Superb,2015,CNG,Manual,2390000,22.7,1000,6,16100
178,Volkswagen,Vento,2022,Petrol,Automatic,1030000,11.1,2500,7,16700
179,Mahindra,Bolero,2016,CNG,Manual,550000,10.4,1000,7,24200
180,Volkswagen,Vento,2022,Petrol,Manual,2270000,24.3,2500,6,24700
181,Toyota,Urban Cruiser,2019,Petrol,Manual,590000,16.3,2500,6,24000
182,Maruti Suzuki,Baleno,2021,Electric,Automatic,980000,27.8,1800,7,16900
183,Kia,Carens,2021,Electric,Automatic,500000,29.6,1800,6,12800
184,Hyundai,Verna,2022,Electric,Automatic,2040000,28.2,1500,7,18900
185,Toyota,Innova,2015,Electric,Manual,1540000,25.9,1200,4,24600
186,Tata Motors,Tiago,2016,Electric,Manual,1840000,12.6,800,7,24600
187,Honda,Amaze,2020,Diesel,Manual,3150000,22,1000,4,22600
188,Kia,Seltos,2015,Petrol,Manual,1290000,23.9,1000,7,17000
189,Volkswagen,Polo,2017,CNG,Automatic,2610000,14,1800,7,9800
190,Kia,EV6,2019,Diesel,Automatic,2780000,23.6,1000,5,14100
191,Tata Motors,Tiago,2017,Petrol,Manual,1840000,29.7,1500,6,15500
192,Renault,Triber,2021,Diesel,Automatic,2710000,18.6,1500,4,7300
193,Mahindra,Bolero,2021,Petrol,Manual,1930000,10.1,1800,4,6700
194,Hyundai,Creta,2019,Electric,Automatic,1510000,13.7,800,6,10200
195,Hyundai,Venue,2019,CNG,Manual,2470000,29.2,1000,7,12800
196,Mahindra,Thar,2024,Diesel,Automatic,3280000,20.1,1500,5,9400
197,Toyota,Fortuner,2024,Petrol,Automatic,2030000,15.7,1800,7,23000
198,Honda,Amaze,2018,Diesel,Automatic,1010000,22.2,2000,5,8100
199,Honda,Civic,2015,Electric,Automatic,2860000,18.7,2500,4,16600
200,Renault,Lodgy,2019,Electric,Manual,2590000,24.7,2500,6,21100
201,Toyota,Glanza,2017,Electric,Automatic,2150000,12,2000,7,17700
202,Volkswagen,Tiguan,2018,Petrol,Manual,1090000,28.1,800,4,24500
203,Skoda,Kushaq,2016,Electric,Automatic,1860000,18.1,800,4,9400
204,Skoda,Superb,2018,Electric,Manual,1870000,13.5,800,6,21000
205,Honda,Civic,2022,Diesel,Manual,2860000,23.6,1500,4,13700
206,Toyota,Urban Cruiser,2016,Petrol,Automatic,2660000,25.2,2000,6,5000
207,Kia,EV6,2017,Diesel,Manual,2890000,19.9,1000,6,15200
208,Volkswagen,Vento,2020,Electric,Automatic,1740000,25.6,1000,4,16200
209,Hyundai,Venue,2022,Electric,Manual,2490000,13.6,1800,6,7800
210,Hyundai,i10,2019,Electric,Manual,1490000,15.1,800,4,10900
211,Honda,WR-V,2018,Diesel,Manual,640000,16.3,800,4,9900
212,Kia,Carens,2023,CNG,Automatic,2030000,16,800,6,11200
213,Mahindra,XUV300,2022,Electric,Manual,2950000,17.3,1200,7,11000
214,Hyundai,i20,2024,CNG,Manual,2330000,28.7,1800,7,8500
215,Volkswagen,Polo,2016,Electric,Manual,1770000,20.1,1500,7,23400
216,Renault,Duster,2023,Petrol,Manual,2650000,20.2,1000,6,11400
217,Renault,Triber,2021,Diesel,Manual,980000,25.2,800,7,19700
218,Renault,Triber,2022,CNG,Manual,3280000,27,2000,7,10300
219,Skoda,Octavia,2016,Electric,Manual,2710000,14,800,7,7300
220,Renault,Kwid,2019,Petrol,Manual,1660000,18.3,1200,5,12500
221,Skoda,Rapid,2018,Electric,Automatic,460000,19.6,1000,4,11600
222,Kia,EV6,2020,Electric,Manual,1810000,21.6,1200,7,11900
223,Tata Motors,Harrier,2019,Electric,Automatic,1750000,17,1500,7,17900
224,Mahindra,Thar,2019,CNG,Automatic,1120000,22.3,1200,6,22600
225,Volkswagen,Virtus,2016,Electric,Automatic,2190000,27.7,1200,6,21900
226,Toyota,Glanza,2016,Electric,Automatic,2540000,13.4,1000,5,7000
227,Honda,City,2019,Diesel,Automatic,2270000,28.2,800,7,10300
228,Hyundai,i20,2022,Petrol,Automatic,3040000,29,2500,4,20300
229,Tata Motors,Nexon,2021,Diesel,Automatic,3420000,12.9,800,5,13800
230,Hyundai,i10,2018,CNG,Manual,3050000,12.3,1500,5,15300
231,Volkswagen,Taigun,2020,Diesel,Manual,1240000,20.9,1800,4,17200
232,Skoda,Rapid,2018,Diesel,Manual,1140000,28.5,1800,4,9900
233,Skoda,Kushaq,2016,Petrol,Automatic,1930000,14.6,1000,7,11600
234,Skoda,Slavia,2018,CNG,Manual,3230000,11.3,1000,4,5900
235,Mahindra,XUV700,2020,CNG,Manual,1860000,21.2,1200,6,11300
236,Honda,Amaze,2021,Electric,Automatic,1340000,27.6,2500,5,9300
237,Tata Motors,Punch,2019,Electric,Automatic,2050000,10.2,2000,4,11900
238,Toyota,Camry,2024,Petrol,Manual,2970000,24.6,1000,4,23300
239,Mahindra,XUV300,2023,Diesel,Manual,1020000,11.4,1000,6,8700
240,Kia,Sonet,2019,CNG,Manual,3010000,13.5,1800,6,13400
241,Toyota,Camry,2023,Electric,Manual,1930000,24.5,1800,4,15800
242,Maruti Suzuki,Dzire,2018,Electric,Manual,1570000,11,1200,5,21300
243,Tata Motors,Harrier,2015,Petrol,Manual,1740000,19.3,2000,6,18500
244,Toyota,Innova,2022,Diesel,Automatic,1040000,10.2,2000,4,24000
245,Tata Motors,Harrier,2018,Petrol,Automatic,940000,19.8,1000,6,7100
246,Hyundai,Creta,2022,Diesel,Automatic,1590000,21.9,1800,4,21600
247,Mahindra,XUV300,2021,Petrol,Manual,2160000,28.6,2000,7,17200
248,Honda,Jazz,2017,CNG,Automatic,2570000,11,1800,5,22300
249,Kia,Sonet,2022,Petrol,Automatic,1260000,28.8,1800,7,15600
250,Volkswagen,Polo,2024,Petrol,Automatic,2610000,27.7,2500,6,5900
251,Honda,City,2017,Diesel,Automatic,1190000,11.1,1200,5,21400
252,Hyundai,Creta,2024,CNG,Manual,1480000,14.2,2000,7,19700
253,Hyundai,Creta,2023,Petrol,Automatic,1700000,24.7,1200,6,24300
254,Tata Motors,Punch,2015,Electric,Automatic,3190000,11.8,1800,4,8900
255,Maruti Suzuki,Ertiga,2023,Electric,Manual,3380000,15.5,1800,4,6000
256,Renault,Kwid,2019,Electric,Automatic,740000,10.4,1000,4,9600
257,Renault,Kiger,2020,Electric,Automatic,2060000,14.3,1800,4,11700
258,Hyundai,i20,2021,Electric,Manual,3200000,17.4,800,7,6600
259,Mahindra,XUV300,2019,CNG,Manual,3280000,19.8,1000,7,19200
260,Honda,WR-V,2022,Diesel,Automatic,2060000,12,2000,4,6800
261,Skoda,Rapid,2019,CNG,Automatic,1490000,14.3,1800,4,22700
262,Maruti Suzuki,WagonR,2023,Petrol,Manual,700000,17.3,1000,5,24400
263,Kia,Sonet,2023,Petrol,Automatic,2620000,23.4,800,5,7800
264,Toyota,Glanza,2022,CNG,Manual,1020000,24.1,2500,5,6400
265,Volkswagen,Polo,2022,Diesel,Manual,2240000,13.8,2000,7,24100
266,Honda,Amaze,2021,Diesel,Manual,2400000,22.3,1500,4,11200
267,Honda,Civic,2023,Petrol,Manual,2560000,14.6,1000,4,17100
268,Kia,Sonet,2016,Petrol,Manual,1440000,15.9,1200,7,10400
269,Volkswagen,Virtus,2018,Diesel,Automatic,3450000,26.9,1000,7,12900
270,Renault,Kwid,2016,Electric,Automatic,3210000,25.4,2000,5,8500
271,Maruti Suzuki,WagonR,2022,Electric,Manual,520000,24.7,1000,4,22200
272,Honda,WR-V,2023,Petrol,Automatic,2600000,25.1,2000,6,15800
273,Mahindra,Scorpio,2017,Diesel,Manual,3260000,12.3,2500,4,21000
274,Tata Motors,Tiago,2018,CNG,Automatic,1190000,23.9,1200,4,5800
275,Mahindra,Scorpio,2019,Petrol,Manual,3210000,15.9,1800,4,16600
276,Maruti Suzuki,Swift,2022,CNG,Automatic,3400000,21.2,800,6,15000
277,Hyundai,Creta,2020,Electric,Automatic,2610000,15.9,1200,6,18100
278,Toyota,Camry,2020,Petrol,Manual,860000,11.7,800,7,15800
279,Maruti Suzuki,Baleno,2022,Diesel,Manual,2480000,24.8,800,6,22500
280,Renault,Duster,2018,Electric,Manual,2210000,11.8,2000,7,6500
281,Maruti Suzuki,Swift,2023,Diesel,Manual,1280000,25.5,1000,4,7700
282,Kia,Carnival,2023,CNG,Automatic,3070000,26.1,1200,7,23700
283,Mahindra,XUV700,2022,Diesel,Automatic,3040000,17.7,2500,5,11300
284,Renault,Kiger,2020,CNG,Automatic,420000,24.2,2000,4,10400
285,Toyota,Glanza,2016,Electric,Manual,2220000,17.7,2500,5,17300
286,Toyota,Fortuner,2017,Diesel,Automatic,3240000,27.2,1200,6,19600
287,Kia,Carnival,2018,CNG,Automatic,1240000,18.4,800,6,18200
288,Tata Motors,Nexon,2022,Electric,Automatic,2830000,11,1500,4,20000
289,Maruti Suzuki,Swift,2018,CNG,Automatic,1200000,24.7,800,6,13400
290,Volkswagen,Taigun,2018,Diesel,Automatic,1110000,11.8,1000,4,21600
291,Renault,Triber,2015,Diesel,Manual,3020000,19.4,1800,4,15300
292,Kia,EV6,2021,Electric,Automatic,2280000,10,1200,7,10700
293,Toyota,Urban Cruiser,2015,CNG,Manual,2970000,17.8,1200,7,12500
294,Skoda,Kushaq,2022,CNG,Automatic,2020000,26.1,1500,7,6200
295,Maruti Suzuki,Ertiga,2022,Diesel,Manual,1520000,15,1000,7,19900
296,Skoda,Slavia,2018,Petrol,Manual,1390000,13.3,1200,6,19800
297,Mahindra,Scorpio,2018,Electric,Manual,2440000,16.1,800,5,14400
298,Volkswagen,Vento,2019,Electric,Automatic,3350000,15.3,1200,5,18500
299,Skoda,Octavia,2016,Petrol,Manual,2750000,21.9,2000,6,13600
300,Maruti Suzuki,Baleno,2016,Diesel,Automatic,1270000,29.6,2000,6,6700
301,Renault,Duster,2016,CNG,Manual,650000,16,2000,4,20000
302,Volkswagen,Vento,2022,Diesel,Manual,2670000,22.9,1000,6,10000
303,Kia,Carens,2020,Diesel,Automatic,1180000,10.9,1200,5,23400
304,Skoda,Rapid,2019,CNG,Automatic,2110000,10.3,2000,4,19800
305,Renault,Kiger,2018,CNG,Automatic,3310000,18.7,1800,4,23000
306,Maruti Suzuki,Baleno,2024,CNG,Automatic,1550000,13.4,1000,5,16700
307,Kia,Sonet,2016,Electric,Automatic,1170000,13.2,1200,6,9200
308,Tata Motors,Tiago,2022,CNG,Automatic,1690000,18.2,2500,7,14700
309,Maruti Suzuki,WagonR,2015,CNG,Automatic,2500000,26.6,1500,7,9100
310,Kia,EV6,2020,CNG,Automatic,1410000,18.8,1000,5,14100
311,Maruti Suzuki,Ertiga,2019,Electric,Automatic,1960000,15.9,800,4,5300
312,Maruti Suzuki,WagonR,2017,Diesel,Automatic,2180000,11,1200,5,22300
313,Renault,Kwid,2020,Electric,Manual,3000000,22.9,800,7,12100
314,Toyota,Camry,2020,Diesel,Automatic,880000,28.5,1000,7,16600
315,Hyundai,i20,2016,Diesel,Manual,1990000,14.6,2500,4,9300
316,Toyota,Innova,2023,Petrol,Automatic,1000000,21,1500,6,19200
317,Toyota,Urban Cruiser,2023,Petrol,Manual,2680000,11.6,1800,4,18100
318,Mahindra,XUV300,2020,Petrol,Automatic,2060000,19.8,1000,4,7700
319,Toyota,Glanza,2021,Electric,Automatic,1530000,25.8,1200,4,11300
320,Honda,Amaze,2015,Petrol,Manual,2770000,22.1,2500,5,19200
321,Kia,Seltos,2017,Electric,Automatic,3400000,23.4,1500,6,11900
322,Maruti Suzuki,Dzire,2018,Petrol,Automatic,1520000,29.9,1500,5,12700
323,Toyota,Urban Cruiser,2019,CNG,Manual,2960000,23,2500,5,12300
324,Volkswagen,Tiguan,2017,Petrol,Manual,920000,29.3,1800,7,5700
325,Mahindra,Bolero,2022,Electric,Manual,1850000,14.9,800,6,18400
326,Maruti Suzuki,Baleno,2016,Diesel,Automatic,2280000,19.6,1500,5,14400
327,Tata Motors,Punch,2020,Electric,Automatic,1590000,17.2,2000,6,14300
328,Tata Motors,Punch,2016,Electric,Manual,3040000,18.9,1200,5,5800
329,Kia,Seltos,2015,Diesel,Automatic,1460000,13.1,800,7,21900
330,Kia,Seltos,2024,Petrol,Automatic,1860000,16.8,2000,6,12300
331,Maruti Suzuki,Swift,2021,Petrol,Manual,1480000,10.2,800,6,10800
332,Toyota,Glanza,2021,Diesel,Automatic,3000000,27,1500,5,15300
333,Tata Motors,Harrier,2022,Electric,Automatic,1360000,12.3,1200,7,17900
334,Tata Motors,Punch,2021,CNG,Manual,430000,24.8,2500,7,15700
335,Skoda,Octavia,2017,Diesel,Automatic,1560000,27,2500,7,16400
336,Honda,Jazz,2018,Electric,Manual,1100000,11.8,1000,6,10200
337,Maruti Suzuki,Ertiga,2015,Electric,Automatic,1930000,17.5,1800,7,9500
338,Maruti Suzuki,WagonR,2015,CNG,Automatic,2270000,26.2,1200,5,12000
339,Maruti Suzuki,Ertiga,2024,Petrol,Automatic,910000,16,800,5,25000
340,Kia,Carens,2015,CNG,Manual,1600000,17.4,1000,7,9400
341,Volkswagen,Virtus,2018,Diesel,Automatic,1120000,29.7,2500,4,22900
342,Tata Motors,Nexon,2016,Petrol,Manual,420000,24.5,1800,6,17500
343,Maruti Suzuki,Dzire,2022,Diesel,Automatic,1310000,19.3,1500,4,19000
344,Volkswagen,Tiguan,2015,Diesel,Manual,560000,28.6,1000,7,14000
345,Mahindra,Bolero,2018,CNG,Automatic,680000,22.2,1200,5,7700
346,Maruti Suzuki,Swift,2017,Electric,Automatic,2020000,11.7,1800,4,17000
